Weekday,Start Time,End Time,Role,Event Name,Event Abbreviation,Event Type,Event Description
Sunday,6:00 PM,6:45 PM,Agenda,SC/AC/WC Meeting,ME,Agenda,"A coordination meeting for Session Coordinators, Assistant Coordinators, and Wellness Coordinators."
Sunday,6:45 PM,7:00 PM,Agenda,Roll Call and Transition,RC,Agenda,A brief gathering to account for all staff and transition to the next activity.
Sunday,7:00 PM,7:45 PM,Agenda,Session Adviser Message,SA,Agenda,A mandatory meeting with an uplifting message and final instructions from the Session Adviser to the staff.
Sunday,7:45 PM,8:00 PM,Agenda,Move to AC/CN Breakout,TR,Agenda,Transition time for Assistant Coordinators and Counselors to move to their breakout session locations.
Sunday,8:00 PM,8:15 PM,Agenda,AC/CN Breakout,ME,Agenda,"A breakout session for Assistant Coordinators and Counselors to get to build relationships, answer questions, and set expectations."
Sunday,8:15 PM,9:15 PM,Agenda,Mingle | Meet Your Co-CN | CN Interviews | Door Tag Prep,PL,Agenda,"A multi-purpose time for staff to mingle, for co-counselors to meet, for counselor interviews to be conducted, and for door tag preparation."
Monday,7:30 AM,8:20 AM,Agenda,Staff Breakfast,BR,Agenda,A breakfast for all staff members to start the day together.
Monday,8:20 AM,8:30 AM,Agenda,Transition,TR,Agenda,Move to staff business meeting.
Monday,8:30 AM,9:15 AM,Agenda,Staff Business Meeting,ME,Agenda,A meeting to discuss the business and logistical aspects of the FSY session.
Monday,9:15 AM,10:00 AM,Agenda,Co-counselor Planning,CO,Agenda,Dedicated time for co-counselors to plan and coordinate their activities for their companies.
Monday,10:00 AM,11:00 AM,Agenda,Check-In Set Up,CH,Agenda,"Time to prepare the check-in area for participant arrival by setting out name cards, wristbands, shirts, and handbooks."
Monday,11:00 AM,12:00 PM,Agenda,Participant Check-In 1,CH,Agenda,"The first shift of participant arrivals, check-in, and room assignments."
Monday,12:00 PM,1:00 PM,Agenda,Participant Check-In 2,CH,Agenda,"The second shift of participant arrivals, check-in, and room assignments."
Monday,1:00 PM,1:15:00 PM,Agenda,Transition,TR,Agenda,Wrap up Check-In and start room checks.
Monday,1:15 PM,1:30 PM,Agenda,Participant Room Checks,RC,Agenda,Ensuring participants are settled in their rooms and check for damages.
Monday,1:30 PM,2:20 PM,Agenda,Meet Your Counselor | Head Count,CO,Agenda,An initial meeting for participants to get to know their counselor and to set expectations for the week.
Monday,2:20 PM,2:30 PM,Agenda,Travel to Meet Your Company,TR,Agenda,Participants and counselors travel to their designated company meeting spots.
Monday,2:30 PM,3:00 PM,Agenda,Meet Your Company,CO,Agenda,"The first official meeting of each company, a time for introductions and icebreakers."
Monday,3:00 PM,3:15 PM,Agenda,"Company Name, Scripture, and Chant",CO,Agenda,"Companies discuss together their unique name and scripture, along with a chant that they will use throughout the week."
Monday,3:15 PM,3:30 PM,Agenda,Travel to Orientation,TR,Agenda,Movement of all companies to the main orientation location.
Monday,3:30 PM,4:30 PM,Agenda,Orientation,OR,Agenda,"The official welcome and orientation to the FSY session, covering rules, schedules, and expectations."
Monday,4:30 PM,6:00 PM,Agenda,Dinner,DI,Agenda,Dinner for all participants and staff.
Monday,6:00 PM,6:15 PM,Agenda,Meet with Company & Travel to Home Evening,TR,Agenda,Companies gather and then travel together to the home evening lesson.
Monday,6:15 PM,7:00 PM,Agenda,Home Evening Lesson,HL,Agenda,A spiritual lesson and presentation by the Session Adviser.
Monday,7:00 PM,7:15 PM,Agenda,Travel to Company Spot,TR,Agenda,Companies travel back to their designated company spots.
