Weekday,Start Time,End Time,Role,Event Name,Event Abbreviation,Event Type,Event Description
Sunday,6:00 PM,7:00 PM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,7:00 PM,7:50 PM,CN A,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,7:50 PM,8:00 PM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,8:00 PM,8:15 PM,CN A,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,8:15 PM,9:15 PM,CN A,Interviews,IN,free,Time without duty but still actively participating in the session.
Monday,7:30 AM,8:30 AM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,8:30 AM,9:15 AM,CN A,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Monday,9:15 AM,10:00 AM,CN A,Interviews,IN,free,Time without duty but still actively participating in the session.
Monday,10:00 AM,11:00 AM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,11:00 AM,12:00 PM,CN A,Check-in #1,C1,duty,A specific duty or task: Check-in #1.
Monday,12:00 PM,1:00 PM,CN A,Time-off,OF,break,Break time: Time-off.
Monday,1:00 PM,6:00 PM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,6:00 PM,7:00 PM,CN A,Time-off,OF,break,Break time: Time-off.
Monday,7:00 PM,10:15 PM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,10:15 PM,10:30 PM,CN A,Lights Out,LO,duty,A specific duty or task: Lights Out.
Tuesday,6:00 AM,7:10 AM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,7:10 AM,7:20 AM,CN A,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Tuesday,7:20 AM,9:00 AM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,9:00 AM,10:30 AM,CN A,Time-off,OF,break,Break time: Time-off.
Tuesday,10:30 AM,11:30 AM,CN A,CN Coordination Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Tuesday,11:30 AM,12:30 PM,CN A,Time-off,OF,break,Break time: Time-off.
Tuesday,12:30 PM,1:30 PM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,1:30 PM,3:30 PM,CN A,Class Support,CS,duty,A specific duty or task: Class Support.
Tuesday,3:30 PM,4:30 PM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,4:30 PM,6:00 PM,CN A,Dinner Support,DS,duty,A specific duty or task: Dinner Support.
Tuesday,6:00 PM,6:45 PM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,6:45 PM,7:45 PM,CN A,Dance Support,DS,duty,A specific duty or task: Dance Support.
Tuesday,7:45 PM,10:15 PM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,10:15 PM,10:30 PM,CN A,Lights Out,LO,duty,A specific duty or task: Lights Out.
Wednesday,6:00 AM,7:10 AM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,7:10 AM,7:20 AM,CN A,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Wednesday,7:20 AM,10:30 AM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,10:30 AM,11:30 AM,CN A,CN Coordination Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Wednesday,11:30 AM,1:30 PM,CN A,Time-off,OF,break,Break time: Time-off.
Wednesday,1:30 PM,3:30 PM,CN A,Class Support,CS,duty,A specific duty or task: Class Support.
Wednesday,3:30 PM,5:00 PM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,5:00 PM,6:00 PM,CN A,Time-off,OF,break,Break time: Time-off.
Wednesday,6:00 PM,10:15 PM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,10:15 PM,10:30 PM,CN A,Lights out,LO,duty,A specific duty or task: Lights out.
Thursday,6:00 AM,7:10 AM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Thursday,7:10 AM,7:20 AM,CN A,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Thursday,7:20 AM,9:45 AM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Thursday,9:45 AM,11:00 AM,CN A,YW Activity OR Time Off,YA,duty,A specific duty or task: YW Activity OR Time Off.
Thursday,11:00 AM,11:15 AM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Thursday,11:15 AM,12:30 PM,CN A,YM Activity OR Time Off,YA,duty,A specific duty or task: YM Activity OR Time Off.
Thursday,12:30 PM,5:50 PM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Thursday,5:50 PM,7:30 PM,CN A,Time-off,OF,break,Break time: Time-off.
Thursday,7:30 PM,10:15 PM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Thursday,10:15 PM,10:30 PM,CN A,Lights Out,LO,duty,A specific duty or task: Lights Out.
Friday,6:00 AM,7:10 AM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,7:10 AM,7:20 AM,CN A,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Friday,7:20 AM,1:30 PM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,1:30 PM,2:45 PM,CN A,Time-off,OF,break,Break time: Time-off.
Friday,2:45 PM,5:00 PM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,5:00 PM,6:15 PM,CN A,Time-off,OF,break,Break time: Time-off.
Friday,6:15 PM,7:00 PM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,7:00 PM,8:00 PM,CN A,Dance Support,DS,duty,A specific duty or task: Dance Support.
Friday,8:00 PM,10:15 PM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Friday,10:15 PM,10:30 PM,CN A,Lights Out,LO,duty,A specific duty or task: Lights Out.
Friday,10:30 PM,10:50 PM,CN A,Night Watch,NW,duty,A specific duty or task: Night Watch.
Saturday,6:30 AM,7:30 AM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Saturday,7:30 AM,7:45 AM,CN A,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Saturday,7:45 AM,8:30 AM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:00 PM,7:00 PM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,7:00 PM,7:50 PM,CN B,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,7:50 PM,8:00 PM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,8:00 PM,8:15 PM,CN B,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,8:15 PM,9:15 PM,CN B,Interviews,IN,free,Time without duty but still actively participating in the session.
Monday,7:30 AM,8:30 AM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,8:30 AM,9:15 AM,CN B,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Monday,9:15 AM,10:00 AM,CN B,Interviews,IN,free,Time without duty but still actively participating in the session.
Monday,10:00 AM,11:00 AM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,11:00 AM,12:00 PM,CN B,Check-in #1,C1,duty,A specific duty or task: Check-in #1.
Monday,12:00 PM,1:00 PM,CN B,Time-off,OF,break,Break time: Time-off.
Monday,1:00 PM,4:30 PM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,4:30 PM,5:30 PM,CN B,Time-off,OF,break,Break time: Time-off.
Monday,5:30 PM,10:15 PM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Monday,10:15 PM,10:30 PM,CN B,Lights Out,LO,duty,A specific duty or task: Lights Out.
Tuesday,6:00 AM,7:10 AM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,7:10 AM,7:20 AM,CN B,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Tuesday,7:20 AM,10:30 AM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,10:30 AM,11:30 AM,CN B,CN Coordination Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Tuesday,11:30 AM,1:30 PM,CN B,Time-off,OF,break,Break time: Time-off.
Tuesday,1:30 PM,3:30 PM,CN B,Class Support,CS,duty,A specific duty or task: Class Support.
Tuesday,3:30 PM,4:30 PM,CN B,Time-off,OF,break,Break time: Time-off.
Tuesday,4:30 PM,7:45 PM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,7:45 PM,8:45 PM,CN B,Dance Support,DS,duty,A specific duty or task: Dance Support.
Tuesday,8:45 PM,10:15 PM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Tuesday,10:15 PM,10:30 PM,CN B,Lights Out,LO,duty,A specific duty or task: Lights Out.
Wednesday,6:00 AM,7:10 AM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,7:10 AM,7:20 AM,CN B,AC/CN Meeting,AM,meeting,"A scheduled meeting for coordination, planning, or discussion."
Wednesday,7:20 AM,9:00 AM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Wednesday,9:00 AM,10:30 AM,CN B,Time-off,OF,break,Break time: Time-off.
Wednesday,10:30 AM,11:30 AM,CN B,CN Coordination Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Wednesday,11:30 AM,12:30 PM,CN B,Time-off,OF,break,Break time: Time-off.
