WKT,name,description
"POINT (-79.2463835 43.1205609)",Spot 1,
"POINT (-79.2467511 43.1205253)",Spot 2,
"POINT (-79.2470831 43.120552)",Spot 3,
"POINT (-79.2470085 43.1203681)",Spot 4,
"POINT (-79.2471503 43.1201789)",Spot 5,
"POINT (-79.2470086 43.1200334)",Spot 6,
"POINT (-79.2471458 43.1198645)",Spot 7,
"POINT (-79.2475041 43.1199555)",Spot 8,
"POINT (-79.2474612 43.1201506)",Spot 9,
"POINT (-79.2474158 43.1206013)",Spot 10,
"POINT (-79.2477925 43.1204824)",Spot 11,
"POINT (-79.2477591 43.1202175)",Spot 12,
"POINT (-79.248102 43.1202453)",Spot 13,
"POINT (-79.2484685 43.1201792)",Spot 14,
"POINT (-79.2479312 43.1198651)",Spot 15,
"POINT (-79.248208 43.119776)",Spot 16,
"POINT (-79.2477805 43.1197073)",Spot 17,
"POINT (-79.2475502 43.1197004)",Spot 18,
"POINT (-79.2479596 43.1195155)",Spot 19,
"POINT (-79.2476417 43.1195001)",Spot 20,
"POINT (-79.2472506 43.119502)",Spot 21,
